Family,Species.Name,Common.name
Ariidae,Galeichthys ater,Black seacatfish/barbel
Ariidae,Galeicthys feliceps,White seacatfish
Callorhinchidae,Callorhinchus capensis,St Joseph shark
Carangidae,Caranx sexfasciatus,Bigeye kingfish
Carangidae,Lichia amia,Leervis/garrick
Carangidae,Seriola lalandi,Yellowtail
Carangidae,Seriola rivoliana,Longfin yellowtail
Carangidae,Trachinotus africanus,Southern pompano
Carcharhinidae,Carcharhinus brachyurus,Bronze whaler/copper shark
Carcharhinidae,Carcharhinus leucas,Zambezi shark
Carcharhinidae,Carcharhinus limbatus,Blacktip shark
Carcharhinidae,Carcharhinus obscurus,Dusky shark
Carcharhinidae,Prionace glauca,Blueshark
Clupeidae,Sardinops sagax,sardine/pilchard
Coryphaenidae,Coryphaena hippurus,Dolphinfish/dorado
Dasyatidae,Dasyatis chrysonota,Blue stingray
Dasyatidae,Gymnura natalensis,Butterfly/diamond ray
Dichistiidae,Dichistius capensis,Galjoen
Dichistiidae,Dichistius multifasciatus,Banded Galjoen
Dinopercidae,Dinoperca petersi,Cave bass
Elopidae,Elops machnata,Ladyfish/kingspringer/tenpounder
Gempylidae,Thyrsites atun,Snoek
Haemulidae,Pomadasys commersonnii,Spotted grunter
Haemulidae,Pomadasys olivaceus,Piggy
Hexanchidae,Notorynchus cepedianus,Cow shark
Istiophoridae,Istiophorus platypterus,Sailfish
Istiophoridae,Kajikia audax,Striped marlin
Istiophoridae,Makaira nigricans,Blue marlin
Kyphosidae,Neoscorpis lithophilus,Stonebream
Lamnidae,Carcharodon carcharias,White shark
Lamnidae,Isurus oxyrinchus,Mako shark
Merlucciidae,Merluccius capensis,Hake
Mugilidae,Liza richardsonii,Harder
Mugilidae,Liza tricuspidens,Striped mullet
Mugilidae,Mugil cephalus,Flathead/springer mullet
Myliobatidae,Myliobatis aquila,Bullray
Odontaspidae,Carcharius taurus,Spotted ragged-tooth
Oplegnathidae,Oplegnathus conwayi,Cape knifejaw
Platycephalidae,Platycephalus indicus,Bartailed flathead
Pomatomidae,Pomatomus saltatrix,Elf
Rachycentridae,Rachycentron canadum,Prodigal son/cobia
Rhinobatidae,Rhinobatos annulatus,Lesser guitarfish/sandshark
Sciaenidae,Argyrosomus inodorus,Silver kob
Sciaenidae,Argyrosomus japonicus,Dusky kob
Sciaenidae,Atractoscion aequidens,Geelbek
Sciaenidae,Umbrina robinsoni,Bardman
Scombridae,Acanthocybium solandri,Wahoo
Scombridae,Katsuwonus pelamis,Skipjack tuna
Scombridae,Sarda sarda,Atlantic bonito / katonkel
Scombridae,Scomber japonicus,Mackerel
Scombridae,Scomberomorus commerson,King mackerel
Scombridae,Thunnus alalunga,Albacore
Scombridae,Thunnus albacares,Yellowfin tuna
Scombridae,Thunnus obesus,Bigeye tuna
Scombridae,Trachurus capensis,Maasbanker
Scyliorhinidae,Poroderma africanum,Pyjama shark/striped catshark
Scyliorhinidae,Poroderma pantherinum,Leopard catshark
Sebastidae,Sebastes capensis,Jacopever
Serranidae,Epinephelus andersoni,Catface rockcod
Serranidae,Epinephelus marginatus,Yellowbelly rockcod
Serranidae,Epinephelus rivulatus,Halfmoon rockcod
Sparidae,Acanthopagrus vagus,River bream
Sparidae,Argyrops spinifer,King soldierbream
Sparidae,Argyrozona argyrozona,Carpenter/silverfish
Sparidae,Boopsoidea inornata,Fransmadam/karel grootoog
Sparidae,Cheimerius nufar,Soldier/santer
Sparidae,Chrysoblephus gibbiceps,Red stumpnose
Sparidae,Chrysoblephus laticeps,Red roman
Sparidae,Cymatoceps nasutus,Poenskop/Black musselcracker
Sparidae,Diplodus capensis,Blacktail
Sparidae,Diplodus hottentotus,Zebra
Sparidae,Gymnocrotaphus curvidens,John Brown
Sparidae,Lithognathus lithognathus,White steenbras
Sparidae,Lithognathus mormyrus,Sand steenbras
Sparidae,Pachymetopon aeneum,Blue hottentot
Sparidae,Pachymetopon blochii,Hottentot
Sparidae,Pagellus natalensis,Red Tjor-tjor
Sparidae,Petrus rupestris,Red steenbras
Sparidae,Polysteganus undulosus,Seventy-four
Sparidae,Porcostoma dentata,Dane
Sparidae,Pterogymnus laniarius,Panga
Sparidae,Rhabdosargus globiceps,White stumpnose
Sparidae,Rhabdosargus holubi,Cape stumpnose
Sparidae,Rhabdosargus sarba,Natal stumpnose
Sparidae,Sarpa salpa,Strepie
Sparidae,Sparodon durbanensis,White musselcracker
Sparidae,Spondyliosoma emarginatum,Steentjie
Sparidae,Pachymetopon grande,Bronze Bream
Sparidae,Chrysoblephus cristiceps,Dageraad
Sparidae,Chrysoblephus anglicus,Englishman
Sparidae,Polysteganus praeorbitalis,Scotsman
Sphyraenidae,Sphyraena jello,Pickhandle barracuda
Sphyrnidae,Sphyrna zygaena,Hammerhead shark
Triakidae,Galeorhinus galeus,Soupfin shark
Triakidae,Mustelus mustelus,Smooth houndshark
Triakidae,Triakis megalopterus,Spotted gullyshark
Triglidae,Chelidonichthys capensis,Gurnard
Xiphiidae,Xiphias gladius,Swordfish
